StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3
2024-12-15 19:09:13,2024-12-15 19:09:52,IP Address,65.112.8.56,100,39,True,2024-12-15 19:09:53,R_1iec9q90rLOlap3,,,,,42.3737,-71.1284,anonymous,EN,Yanny,I heard Laurel for all of them,I heard Laurel for all of them
2024-12-15 19:19:59,2024-12-15 19:20:41,IP Address,65.112.8.20,100,41,True,2024-12-15 19:20:41,R_7LYZnLGnqqKdPUv,,,,,42.3737,-71.1284,anonymous,EN,Yanny,3,I heard Yanny for all of them
2024-12-15 19:24:01,2024-12-15 19:24:51,IP Address,172.56.192.222,100,49,True,2024-12-15 19:24:51,R_7nOUqn73AvjUj4K,,,,,42.415,-71.0527,anonymous,EN,Yanny,4,4
2024-12-15 19:35:36,2024-12-15 19:36:42,IP Address,65.112.8.16,100,66,True,2024-12-15 19:36:43,R_6lfWO9qXSSf14H9,,,,,42.3737,-71.1284,anonymous,EN,Laurel,6,I heard Laurel for all of them
2024-12-15 19:39:29,2024-12-15 19:40:01,IP Address,132.183.13.230,100,32,True,2024-12-15 19:40:02,R_6NkzJycDMhVFcA2,,,,,42.3634,-71.0713,anonymous,EN,Laurel,I heard Laurel for all of them,I heard Laurel for all of them
2024-12-15 19:58:01,2024-12-15 19:59:27,IP Address,140.186.235.161,100,85,True,2024-12-15 19:59:27,R_6us1c90elvzrPJw,,,,,44.4974,-103.8669,anonymous,EN,Laurel,I heard Laurel for all of them,I heard Laurel for all of them
2024-12-15 20:04:11,2024-12-15 20:05:16,IP Address,65.112.8.57,100,64,True,2024-12-15 20:05:16,R_1d4efJvBjsjzf69,,,,,42.3737,-71.1284,anonymous,EN,Yanny,6,5
2024-12-15 20:27:52,2024-12-15 20:29:04,IP Address,68.59.170.33,100,71,True,2024-12-15 20:29:05,R_6WI4Ngk6J4lr6xr,,,,,41.0492,-85.304,anonymous,EN,Laurel,I heard Laurel for all of them,I heard Laurel for all of them
2024-12-15 20:41:09,2024-12-15 20:42:24,IP Address,67.87.134.223,100,74,True,2024-12-15 20:42:25,R_5TzVEPIuiVeaObM,,,,,41.1426,-73.8295,anonymous,EN,Laurel,5,3
2024-12-15 20:49:29,2024-12-15 20:50:06,IP Address,69.166.115.243,100,36,True,2024-12-15 20:50:06,R_3KfndVbdD2Xtm3r,,,,,49.1689,-123.1442,anonymous,EN,Laurel,I heard Laurel for all of them,I heard Laurel for all of them
2024-12-15 21:21:33,2024-12-15 21:22:27,IP Address,65.112.8.29,100,54,True,2024-12-15 21:22:28,R_5Nl7ZmoXB82AyFa,,,,,42.3737,-71.1284,anonymous,EN,Laurel,4,2
2024-12-15 21:36:40,2024-12-15 21:37:46,IP Address,65.112.8.51,100,66,True,2024-12-15 21:37:46,R_15ShBpFogg1iUdt,,,,,42.3737,-71.1284,anonymous,EN,Yanny,4,4
2024-12-15 21:35:28,2024-12-15 21:38:44,IP Address,65.112.8.31,100,196,True,2024-12-15 21:38:45,R_50McbDKh4Up6qWC,,,,,42.3737,-71.1284,anonymous,EN,Laurel,4,4
2024-12-15 22:22:05,2024-12-15 22:26:28,IP Address,172.226.200.13,100,263,True,2024-12-15 22:26:29,R_5MJufDgLCoLowX4,,,,,40.7123,-74.0068,anonymous,EN,Yanny,4,7
2024-12-15 23:38:15,2024-12-15 23:38:48,IP Address,65.112.8.24,100,33,True,2024-12-15 23:38:49,R_5nVqtjFiHyR2aM2,,,,,42.3737,-71.1284,anonymous,EN,Laurel,I heard Laurel for all of them,I heard Laurel for all of them
2024-12-16 00:53:24,2024-12-16 00:54:43,IP Address,5.77.200.36,100,78,True,2024-12-16 00:54:43,R_8CD7f9wNHW9tPfy,,,,,40.1817,44.5099,anonymous,EN,Laurel,4,4
2024-12-16 03:03:20,2024-12-16 03:04:01,IP Address,65.112.8.57,100,40,True,2024-12-16 03:04:01,R_7Bn2bDiUjnA9UMV,,,,,42.3737,-71.1284,anonymous,EN,Laurel,I heard Laurel for all of them,I heard Laurel for all of them
2024-12-16 06:46:03,2024-12-16 06:47:05,IP Address,72.106.190.160,100,61,True,2024-12-16 06:47:05,R_6CHZLWv6qHVSK0k,,,,,42.3562,-71.0631,anonymous,EN,Laurel,5,3
2024-12-16 08:03:25,2024-12-16 08:04:06,IP Address,65.112.8.26,100,40,True,2024-12-16 08:04:06,R_32JxBZF7Q8G9bfT,,,,,42.3737,-71.1284,anonymous,EN,Laurel,I heard Laurel for all of them,I heard Laurel for all of them
2024-12-16 10:35:47,2024-12-16 10:37:05,IP Address,99.254.245.58,100,78,True,2024-12-16 10:37:05,R_5mf1YLP0XjNAJO7,,,,,43.3679,-80.9523,anonymous,EN,Yanny,2,4
2024-12-16 11:37:13,2024-12-16 11:38:47,IP Address,65.112.8.54,100,93,True,2024-12-16 11:38:47,R_6IWt6LMA7SpJb7g,,,,,42.3737,-71.1284,anonymous,EN,Laurel,I heard Laurel for all of them,I heard Laurel for all of them
2024-12-16 12:45:02,2024-12-16 12:46:29,IP Address,149.75.22.84,100,87,True,2024-12-16 12:46:30,R_3Hjg57qGzmc7RFD,,,,,37.9653,-87.3902,anonymous,EN,Laurel,I heard Laurel for all of them,I heard Laurel for all of them
2024-12-16 12:44:43,2024-12-16 12:46:37,IP Address,65.112.8.18,100,114,True,2024-12-16 12:46:37,R_32Rth0eAsYZUzVb,,,,,42.3737,-71.1284,anonymous,EN,Yanny,3,5
